Env,Size,Reward type,Game id,Final reward,Num edges,t* index,density,avg_degree,max_degree,avg_clustering,num_components,avg_shortest_path
Linear,11,complete,0,-3.552713678800501e-15,19,2,0.34545454545454546,3.4545454545454546,10,0.6686147186147186,1,1.6545454545454545
Linear,11,complete,1,0.0,18,2,0.32727272727272727,3.272727272727273,10,0.581096681096681,1,1.6727272727272726
Linear,11,complete,2,-3.552713678800501e-15,19,2,0.34545454545454546,3.4545454545454546,10,0.6686147186147186,1,1.6545454545454545
Linear,11,complete,3,-3.552713678800501e-15,19,2,0.34545454545454546,3.4545454545454546,10,0.6686147186147186,1,1.6545454545454545
Linear,11,complete,4,-7.105427357601002e-15,17,2,0.3090909090909091,3.090909090909091,10,0.495959595959596,1,1.690909090909091
Linear,11,complete,5,3.552713678800501e-15,19,2,0.34545454545454546,3.4545454545454546,10,0.6686147186147186,1,1.6545454545454545
Linear,11,complete,6,-7.105427357601002e-15,17,2,0.3090909090909091,3.090909090909091,10,0.495959595959596,1,1.690909090909091
Linear,11,complete,7,-3.552713678800501e-15,19,2,0.34545454545454546,3.4545454545454546,10,0.6686147186147186,1,1.6545454545454545
Linear,11,complete,8,-3.552713678800501e-15,19,2,0.34545454545454546,3.4545454545454546,10,0.6686147186147186,1,1.6545454545454545
Linear,11,complete,9,0.0,20,2,0.36363636363636365,3.6363636363636362,10,0.6617604617604618,1,1.6363636363636365
Linear,11,complete,10,1.0658141036401503e-14,19,2,0.34545454545454546,3.4545454545454546,10,0.6686147186147186,1,1.6545454545454545
Linear,11,complete,11,-3.552713678800501e-15,19,2,0.34545454545454546,3.4545454545454546,10,0.6686147186147186,1,1.6545454545454545
Linear,11,complete,12,0.0,18,2,0.32727272727272727,3.272727272727273,10,0.4919191919191919,1,1.6727272727272726
Linear,11,complete,13,0.0,18,2,0.32727272727272727,3.272727272727273,10,0.581096681096681,1,1.6727272727272726
Linear,11,complete,14,-3.552713678800501e-15,19,2,0.34545454545454546,3.4545454545454546,10,0.6686147186147186,1,1.6545454545454545
Linear,11,complete,15,0.0,18,2,0.32727272727272727,3.272727272727273,10,0.581096681096681,1,1.6727272727272726
Linear,11,complete,16,-3.552713678800501e-15,19,2,0.34545454545454546,3.4545454545454546,10,0.6686147186147186,1,1.6545454545454545
